,community_id,num_nodes,top_tags,top_countries,sentiment_avg,gdp_avg,temperature_avg
0,0,137,"['pop', 'rock', 'love', 'favorites', '00s', 'dance', 'soul', 'awesome', 'american', 'beautiful']","['lesotho', 'botswana', 'malaysia', 'kuwait', 'sudan', 'ghana', 'cuba', 'venezuela', 'pakistan', 'madagascar']",5.770016200168401,156140.614,23.34
1,1,136,"['rock', 'indie', 'alternative', 'indierock', 'pop', 'awesome', 'favorites', '00s', 'love', 'alternativerock']","['bhutan', 'chad', 'mexico', 'tonga', 'paraguay', 'gambia', 'australia', 'chile', 'colombia', 'peru']",5.70121128752729,374597.736,20.545
2,2,94,"['rock', 'metal', 'alternative', 'favorites', 'alternativerock', 'hardrock', 'awesome', 'punk', 'favourites', 'american']","['moldova', 'armenia', 'nepal', 'bulgaria', 'croatia', 'kyrgyzstan', 'macedonia', 'slovenia', 'ukraine', 'belarus']",5.55956357714861,56419.152,8.14
3,3,55,"['rock', 'pop', 'favorites', 'love', '80s', 'alternative', 'songwriter', 'poprock', '90s', 'singer']","['samoa', 'malta', 'cameroon', 'capeverde', 'andorra', 'greece', 'mali', 'austria', 'lithuania', 'barbados']",5.832763414085797,85135.42599999999,18.36
4,4,49,"['chillout', 'chill', 'trip', 'hop', 'lounge', 'electronic', 'ambient', 'electronica', 'downtempo', 'beautiful']","['mongolia', 'montenegro', 'georgia', 'albania', 'macedonia', 'congo', 'sweden', 'afghanistan', 'cambodia', 'tunisia']",5.745856641152056,80562.584,12.4
5,5,38,"['hop', 'hiphop', 'hip', 'rap', 'favorites', 'classic', 'pop', 'rnb', 'american', '00s']","['mali', 'malawi', 'rwanda', 'barbados', 'uganda', 'nigeria', 'ghana', 'senegal', 'jamaica', 'sudan']",5.587167410024201,68213.725,25.07
6,6,38,"['cover', 'covers', 'rock', 'alternative', 'punk', 'pop', '80s', 'coversongs', 'favorites', 'alternativerock']","['burundi', 'slovenia', 'azerbaijan', 'croatia', 'serbia', 'armenia', 'austria', 'belize', 'cuba', 'cyprus']",5.830293024756726,87776.137,14.460000000000003
7,7,29,"['soul', 'oldies', 'funk', 'party', '60s', 'rhythmandblues', 'dance', 'pop', 'rock', 'malevocalists']","['gabon', 'lesotho', 'cuba', 'mali', 'barbados', 'belgium', 'ghana', 'netherlands', 'afghanistan', 'suriname']",5.941614394381201,187064.3,20.065
8,8,19,"['reggae', 'dancehall', 'malevocalists', 'rootsreggae', 'jamaica', 'bashment', 'ragga', 'dance', 'dancehallreggae', 'reggaeroots']","['bahamas', 'gabon', 'uganda', 'poland', 'capeverde', 'barbados', 'grenada', 'gambia', 'swaziland', 'belize']",5.679759617238419,76072.93299999999,23.01
9,9,17,"['rock', 'rockenespanol', 'pop', 'latinrock', 'rockenespañol', 'rockargentino', 'rocklatino', 'spanish', 'alternative', 'spanishrock']","['argentina', 'colombia', 'honduras', 'chile', 'ecuador', 'bolivia', 'dominicanrepublic', 'peru', 'uruguay', 'mexico']",4.993999705135476,296778.67799999996,19.735
10,10,10,"['finnish', 'suomirock', 'suomi', 'rock', 'memories', 'finland', 'favourites', 'seenlive', 'summer', 'pop']","['finland', 'bhutan', 'dominica', 'thailand']",5.067282711988304,201999.49,14.4
11,11,9,"['dance', 'techno', 'house', 'eurodance', 'trance', 'party', 'club', '90s', 'electronic', 'disco']","['finland', 'turkmenistan', 'cuba', 'grenada', 'luxembourg', 'afghanistan', 'bahrain', 'botswana', 'brazil', 'china']",5.621048780487804,1995921.4069999997,16.985
12,12,6,"['christian', 'worship', 'contemporarychristian', 'nothingwithoutyou', 'rawvelousgospeljams', 'acoustic', 'heythiswouldbeagreatsongtosingasspecialmusicmaybewithsarahmargaret', 'inspirationallyrics', 'bebonorman', 'christianindie']","['bhutan', 'benin', 'turkmenistan', 'capeverde', 'sweden', 'yemen', 'cameroon', 'china', 'dominica', 'seychelles']",5.8124562374530635,1849693.52,18.055
13,13,6,"['trance', 'german', 'electronic', 'dance', 'upliftingtrance', '2009', 'progressivetrance', 'kick', 'ass', 'andy']","['colombia', 'estonia', 'ireland', 'mexico', 'portugal', 'slovakia', 'spain', 'unitedkingdom', 'bhutan', 'nigeria']",-1.0,756216.873,13.49
14,14,6,"['christmas', 'xmas', 'pop', 'christmasmusic', 'christmassongs', 'x', 'holiday', 'holidays', 'winter', 'christmas2008']","['denmark', 'unitedkingdom', 'hungary', 'ireland', 'malta', 'norway', 'unitedstates', 'australia', 'austria', 'bahamas']",6.183872053872054,2979148.19,11.655000000000001
15,15,4,"['punk', 'punkrock', 'poppunk', 'punkfavorites', 'cover', 'rock', 'covers', 'thebeachboys', 'beachboys', 'thevandals']","['lesotho', 'guyana', 'mali', 'norway']",5.399907332707468,127877.10250000001,16.9
16,16,4,"['gothicmetal', 'metal', 'gothic', 'dark', 'gothicrock', 'femalefrontedmetal', 'symphonicmetal', 'melodicmetal', 'lacrimaindarkness', 'beautiful']","['turkmenistan', 'lebanon', 'tajikistan', 'congo']",5.621846955874139,21144.57,15.2625
17,17,3,"['darkwave', 'gothic', 'rock', 'german', 'femalevocalists', 'gothicmetal', 'gothicrock', 'industrial', 'lameimmortelle', 'deutsch']","['tajikistan', 'seychelles', 'kyrgyzstan']",5.063664343168294,6203.246666666666,11.883333333333333
18,18,3,"['b', 'soul', 'rnb', 'slowjams', 'smooth', 'lovesong', '90s', 'after7', 'slowjamz', 'malevocalists']","['swaziland', 'mali', 'azerbaijan', 'ethiopia', 'fiji', 'iraq', 'jamaica', 'monaco']",5.7741895860000945,52864.28749999999,21.0125
19,19,3,"['industrial', 'ebm']","['lesotho', 'haiti', 'burundi']",5.543235294117648,8788.296666666667,18.85
20,20,3,"['70s', 'bluesrock', 'maniobrasorquestales', 'classicrock', 'foghat', 'radiotsarapproved', 'frankmarino', 'rock', 'guitarvirtuoso', 'blues']","['djibouti', 'dominica', 'algeria', 'austria', 'bahrain', 'belgium', 'belize', 'bulgaria', 'cyprus', 'czechrepublic']",5.695689655172414,167985.125,17.745
21,21,3,"['indie', 'rock', 'indiepop', 'indierock', 'vocalharmonies', 'electronicainfluences', 'acousticrhythmpiano', 'repetitivemelodicphrasing', 'avocal', 'centricaesthetic']","['ethiopia', 'tajikistan']",6.126842105263159,60008.69,14.3
22,22,2,"['blues', 'country', 'world', 'groove', 'neworleans', 'lunes', 'clarencegatemouthbrown', 'allmanbros', 'tilosblues', 'absolutelylovethisinstrumental']","['afghanistan', 'luxembourg', 'congo']",-1.0,39783.63333333333,15.266666666666666
23,23,2,"['pop', 'wetwetwet', 'firstrockconcert']","['equatorialguinea', 'andorra', 'angola', 'argentina', 'belgium', 'bolivia', 'brazil', 'bulgaria', 'chile', 'costarica']",5.881846129170233,329051.95199999993,16.835
24,24,2,"['world', 'arabic', 'worldmusic', 'algerian', 'folk', 'rai', 'ethnic', 'edukationsakrobatisch', 'sofiaradio', 'arkadaslarla']","['algeria', 'morocco']",5.209805860805861,150354.2,19.8
25,25,2,"['biginjapan', 'hardrock', 'rock', 'melodicrock']","['bangladesh', 'belarus', 'bulgaria', 'cameroon', 'cuba', 'czechrepublic', 'hungary', 'kazakhstan', 'kyrgyzstan', 'latvia']",5.812192129629629,142019.71,12.2
26,26,2,[],"['mali', 'turkmenistan']",-1.0,32187.585,21.675
27,27,2,"['country', 'travistritt', '00s', 'johnnycash', 'covers', 'countryrock', 'classiccountry', 'travis', 'favoritecountry', 'haunt']","['namibia', 'kuwait']",5.801071428571428,59098.24,23.549999999999997
28,28,2,"['rhythmandblues', '50', 's']","['capeverde', 'montenegro', 'tunisia']",-1.0,18195.126666666667,17.683333333333334
29,29,2,"['grindcore', 'crust', 'radiobav']","['benin', 'lebanon']",-1.0,17931.129999999997,21.275
30,30,2,"['femalevocalists', 'jazz', 'classic', 'soul', 'silkysexysmooth', 'classy', 'lovesongs', 'aclassic', 'amazingvoice', 'sophisticatedlady']","['gabon', 'monaco', 'benin']",6.247222222222222,14290.403333333334,22.05
31,31,2,"['bootycallers', 'dance', 'trance', 'eurodance', 'electronic', 'pop', 'chasingcars', 'electronica', 'favorite', 'lol']","['sweden', 'bahrain', 'bangladesh', 'belize', 'cameroon', 'grenada', 'india', 'indonesia', 'iraq', 'jamaica']",-1.0,571174.0250000001,22.535
32,32,2,"['oldies', '60s', 'rock', 'classicrock', 'garage', '1967', '1960s', 'rocknroll', 'beat', 'swingingsixties']","['congo', 'mali']",6.974923076923076,15833.85,26.4
33,33,2,"['progressiverock', 'liquidtrioexperiment', 'instrumental', 'boom', 'rock', 'fusion', 'progressiv', '914']","['congo', 'bhutan']",-1.0,7419.7,15.975000000000001
